KT3D ESTIMATES WITH:  tmp_pygslib_file                                          
 2   25   29    1  8.0000000      8.0000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
 .00000000      10915.200    
 4.0882660      11928.440    
 3.8241850      11685.410    
 26.902110      9617.1430    
 205.10210      7312.6570    
 193.98980      7753.6330    
 75.647470      10342.370    
 174.01250      9455.1540    
 171.58300      10350.330    
 45.886460      11460.750    
 98.692640      10424.620    
 76.309920      11621.500    
 96.173460      10611.800    
 13.931540      11965.000    
 51.668530      10024.630    
 40.217270      11862.080    
 91.347560      10033.690    
 26.688010      11776.530    
 53.325130      11012.480    
 38.197750      11613.310    
 46.667960      11685.270    
 311.81610      6698.3030    
 274.80910      8575.0790    
 213.38620      6838.9250    
 56.394150      9865.6480    
 .00000000      9873.2360    
 17.129730      12219.360    
 11.468060      9864.0200    
 56.520410      8575.7690    
 232.27750      7043.1540    
 110.95120      7931.1130    
 128.89880      7178.7470    
 308.46820      6959.6250    
 175.11310      8813.2240    
 84.536880      10422.370    
 181.10870      8935.8240    
 64.861150      10927.490    
 94.703990      10685.760    
 19.496560      10800.990    
 60.570140      11050.960    
 63.438190      12011.280    
 64.611020      11579.720    
 45.739600      11047.550    
 69.488010      10347.550    
 32.012800      11298.780    
 126.10410      9767.4880    
 325.58610      6671.1390    
 312.00100      6655.2290    
 159.90580      7662.4390    
 33.486970      10825.790    
 1.5942600      9575.6790    
 26.888140      11781.520    
 22.400150      9033.1340    
 106.93450      8828.8160    
 123.59390      8160.1450    
 73.313460      8254.5960    
 166.32280      6636.9610    
 358.40380      6636.6420    
 202.05140      7018.4910    
 165.98960      9940.4150    
 199.23120      7894.8900    
 84.252750      11490.400    
 43.762330      11270.790    
 45.167880      10464.640    
 63.422400      10231.340    
 89.052370      10862.690    
 37.235470      11117.560    
 54.908590      11535.440    
 66.945620      10193.680    
 22.308290      11572.320    
 205.46450      8022.7700    
 251.33970      9609.8290    
 208.10380      8462.4980    
 98.189160      10128.720    
 34.690840      10585.790    
 21.686030      10363.210    
 19.762240      12575.090    
 77.423860      9644.6200    
 50.531940      11541.580    
 87.343880      9836.7250    
 76.213730      7532.0950    
 230.85270      7323.9910    
 368.14870      5958.5370    
 220.70950      6358.0650    
 288.52600      7471.6820    
 140.93450      7336.2390    
 39.107750      12297.020    
 11.915070      10076.030    
