KT3D ESTIMATES WITH:  tmp_pygslib_file                                          
 2   25   29    1  8.0000000      8.0000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
-15.778000      .12796710    
 8.8011990      .15865560    
 33.200080      .12124320    
 153.47290      .72479140E-01
 476.42630      .45660960E-01
 483.81800      .48036570E-01
 373.10420      .73609060E-01
 396.98360      .12164330    
 381.94640      .11091290    
 335.65340      .14842280    
 363.64850      .10835130    
 388.96990      .17369830    
 439.99630      .10096510    
 355.53870      .14468020    
 300.37700      .84551530E-01
 342.77700      .16380250    
 379.04640      .88228100E-01
 336.04290      .18338770    
 327.05320      .11588210    
 330.62740      .16801560    
 346.62830      .14418590    
 608.98250      .35028040E-01
 612.78700      .51780440E-01
 387.48140      .37944930E-01
 203.04250      .74427970E-01
 3.5560710      .11800060    
 42.264810      .15144020    
 50.361700      .93258160E-01
 135.93690      .52485850E-01
 317.14790      .35915050E-01
 258.91230      .42167980E-01
 284.00070      .49030800E-01
 491.81450      .58701800E-01
 397.54990      .72711560E-01
 350.29280      .11806120    
 381.57410      .91896820E-01
 354.31680      .14374860    
 346.73650      .10863940    
 271.50600      .12835970    
 296.59370      .10133570    
 348.98810      .14413110    
 340.25500      .11053800    
 303.87340      .14498850    
 294.33070      .91984730E-01
 308.15990      .13408320    
 366.67300      .96023220E-01
 624.11830      .31445630E-01
 619.78930      .29942840E-01
 377.78270      .47016430E-01
 215.24710      .91136580E-01
 38.800660      .80748890E-01
 97.939810      .14430320    
 82.836270      .78343210E-01
 105.49600      .97723860E-01
 167.86760      .57340340E-01
 166.36320      .45404850E-01
 354.68680      .32143160E-01
 630.75230      .31141800E-01
 381.71080      .42077340E-01
 424.88060      .10588170    
 383.16030      .68797690E-01
 287.76230      .13015060    
 192.50530      .95756340E-01
 204.76030      .11761970    
 300.56670      .75024380E-01
 344.08500      .14341200    
 277.45190      .89728370E-01
 256.81070      .12940720    
 240.32610      .83791430E-01
 283.44780      .12149360    
 397.61530      .66727820E-01
 606.49530      .11329630    
 524.81240      .61288800E-01
 338.54400      .96349990E-01
 227.48930      .78672570E-01
 121.16320      .94058050E-01
 168.38780      .13840820    
 199.64870      .10028580    
 238.21490      .12164000    
 188.58200      .90266670E-01
 146.00570      .53151960E-01
 399.68410      .40044130E-01
 627.93120      .29614580E-01
