Semivariogram           tail:Cd           head:Cd            direction  1 
   1         .000       .00000      518        1.30908        1.30908
   2        1.660       .79690    53304        1.29682        1.29682
   3        2.922       .85715    32848        1.30458        1.30458
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Semivariogram           tail:Cd           head:Cd            direction  2 
   1         .000       .00000      259        1.30908        1.30908
   2        1.754       .86976     7927        1.34637        1.30747
   3        2.988      1.07851     6076        1.33607        1.44322
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Semivariogram           tail:Cd           head:Cd            direction  3 
   1         .000       .00000      259        1.30908        1.30908
   2        1.567       .70185     5707        1.15337        1.37081
   3        2.729       .49760     2446        1.18868        1.21890
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Cross Semivariogram     tail:Cd           head:Co            direction  1 
   1         .000       .00000      259        1.30908        9.30258
   2        1.660       .82497    26652        1.29682        9.38748
   3        2.922       .86297    16424        1.30458        9.23213
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Cross Semivariogram     tail:Cd           head:Co            direction  2 
   1         .000       .00000      259        1.30908        9.30258
   2        1.754       .78024     7927        1.32692        9.21441
   3        2.988       .79892     6076        1.38965        8.83335
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Cross Semivariogram     tail:Cd           head:Co            direction  3 
   1         .000       .00000      259        1.30908        9.30258
   2        1.567       .90590     5707        1.26209        9.62100
   3        2.729       .74419     2446        1.20379       10.06278
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Semivariogram           tail:Co           head:Co            direction  1 
   1         .000       .00000      518        9.30258        9.30258
   2        1.660     12.49566    53304        9.38748        9.38748
   3        2.922     13.18619    32848        9.23213        9.23213
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Semivariogram           tail:Co           head:Co            direction  2 
   1         .000       .00000      259        9.30258        9.30258
   2        1.754     12.90183     7927        9.73434        8.69449
   3        2.988     11.93074     6076        9.75709        7.90961
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
Semivariogram           tail:Co           head:Co            direction  3 
   1         .000       .00000      259        9.30258        9.30258
   2        1.567     13.33991     5707        8.51106       10.73093
   3        2.729     13.64519     2446        8.86555       11.26000
   4         .000       .00000        0         .00000         .00000
   5         .000       .00000        0         .00000         .00000
   6         .000       .00000        0         .00000         .00000
   7         .000       .00000        0         .00000         .00000
   8         .000       .00000        0         .00000         .00000
   9         .000       .00000        0         .00000         .00000
  10         .000       .00000        0         .00000         .00000
  11         .000       .00000        0         .00000         .00000
  12         .000       .00000        0         .00000         .00000
