KT3D ESTIMATES WITH:  tmp_pygslib_file                                          
 2   25   29    1  8.0000000      8.0000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
 9.3732560      21641.110    
 28.833160      28210.190    
 41.235020      21972.740    
 133.99780      14152.630    
 446.61430      9664.4510    
 461.23390      9811.5190    
 354.25150      14222.980    
 366.82980      23452.600    
 350.44150      21573.690    
 318.55190      26666.120    
 335.52010      20760.840    
 356.63100      31326.720    
 406.03850      18905.350    
 324.27980      26186.390    
 260.77800      16327.290    
 307.55990      29590.970    
 353.58250      16689.900    
 295.62540      32903.640    
 273.80570      21231.690    
 274.88720      30447.490    
 327.36700      21248.740    
 595.13450      8135.3620    
 595.71860      10373.740    
 370.00420      7823.3960    
 195.88780      14221.870    
 16.350160      25363.200    
 39.957840      30792.800    
 56.833940      20072.860    
 139.89950      11223.380    
 302.61560      7780.5770    
 262.02060      8900.0710    
 307.31550      11686.960    
 509.47860      11985.950    
 378.92510      17759.430    
 312.88230      25167.870    
 352.60940      20968.040    
 297.36250      29858.560    
 311.40970      24441.420    
 264.93840      27695.460    
 273.30040      22979.710    
 308.47320      30471.130    
 304.90720      24208.970    
 255.61750      29700.200    
 262.86560      19828.710    
 252.85580      26821.430    
 345.11790      16694.030    
 602.22290      6466.3520    
 608.81560      6457.0060    
 376.21690      9698.6800    
 211.74870      19509.640    
 32.506770      16752.900    
 73.303030      29526.190    
 100.29190      15712.820    
 136.93500      18811.210    
 170.13390      11782.550    
 155.69820      9121.7480    
 360.10490      6544.2450    
 600.30100      6634.7570    
 370.99370      9172.5980    
 373.98480      20195.740    
 367.09950      15836.400    
 212.98590      26713.480    
 154.97720      19868.740    
 185.14640      24237.490    
 281.21720      15935.570    
 292.64280      29607.120    
 238.73690      19132.340    
 209.24880      25952.660    
 207.68960      17582.320    
 256.94010      24147.720    
 351.46260      14168.950    
 533.73530      19507.210    
 490.49720      13379.580    
 334.12160      19871.560    
 216.27280      16207.470    
 97.040930      20236.810    
 158.80940      29115.380    
 152.03270      23417.860    
 205.40040      29767.020    
 134.93300      21167.390    
 134.01430      11758.130    
 408.59990      8410.2600    
 628.80960      6570.3150    
 434.39610      6144.1840    
 481.75390      8616.4120    
 405.69200      11183.130    
 215.04510      28383.100    
 109.16750      19853.520    
 174.24220      25673.170    
 292.83150      21948.790    
